%time vcc icc nReset externalCircuitry.v_cap externalCircuitry.keepAlive externalCircuitry.i_supply
0.00483 3.9511648371 4.81961847291e-05 1 3.9511648371 0 0
0.00484 3.95093009794 4.28435984356e-05 1 3.95093009794 0 0
0.00485 3.95077436138 4.82009482104e-05 1 3.95077436138 0 0
0.00486 3.9506300133 4.82027093762e-05 1 3.9506300133 0 0
0.00487 3.9504742666 5.32171007794e-05 1 3.9504742666 0 0
0.00488 3.95031851615 6.96240473809e-05 1 3.95031851615 0 0
0.00489 3.95015209679 8.56964943893e-05 1 3.95015209679 0 0
0.0049 3.94995076903 7.49898335587e-05 1 3.94995076903 0 0
0.00491 3.94971524457 6.96372082246e-05 1 3.94971524457 0 0
0.00492 3.94950250024 7.32926722883e-05 1 3.94950250024 0 0
0.00493 3.94930114448 6.32633954677e-05 1 3.94930114448 0 0
0.00494 3.94909201114 6.36079157113e-05 1 3.94909201114 0 0
0.00495 3.94890421668 7.39861490008e-05 1 3.94890421668 0 0
0.00496 3.9487156892 6.32727751982e-05 1 3.9487156892 0 0
0.00497 3.94850508037 7.43348486192e-05 1 3.94850508037 0 0
0.00498 3.94831726596 7.43383845955e-05 1 3.94831726596 0 0
0.00499 3.94810591521 5.25639861088e-05 1 3.94810591521 0 0
0.005 3.94789455695 3.11335853023e-05 1 3.94789455695 0 0
0.00501 3.94772952719 6.8648372711e-05 1 3.94772952719 0 0
0.00502 3.94761009403 7.43517015182e-05 1 3.94761009403 0 0
0.00503 3.94741084217 6.39763210708e-05 1 3.94741084217 0 0
0.00504 3.94719945557 4.28840914853e-05 1 3.94719945557 0 0
0.00505 3.94701014425 4.82469168875e-05 1 3.94701014425 0 0
0.00506 3.94686571002 4.28877177488e-05 1 3.94686571002 0 0
0.00507 3.94670986551 4.28894112644e-05 1 3.94670986551 0 0
0.00508 3.94656542356 6.36486374408e-05 1 3.94656542356 0 0
0.00509 3.946420978 6.36509670866e-05 1 3.946420978 0 0
0.0051 3.94623236388 4.82564260855e-05 1 3.94623236388 0 0
0.00511 3.9460437448 4.28966513071e-05 1 3.9460437448 0 0
0.00512 3.94588788007 4.28983457484e-05 1 3.94588788007 0 0
0.00513 3.94574341911 4.82624058781e-05 1 3.94574341911 0 0
